request_id,variant,minute,region,device,cache,payload_kb,latency_ms,status
r001,control,0,us,desktop,warm,48,172,200
r002,control,1,us,desktop,warm,64,181,200
r003,control,2,us,desktop,warm,80,176,200
r004,control,3,us,desktop,warm,96,188,200
r005,control,4,us,desktop,warm,48,169,200
r006,control,5,us,desktop,warm,64,184,200
r007,control,6,us,desktop,warm,80,179,200
r008,control,7,us,desktop,warm,96,191,200
r009,control,8,us,desktop,warm,48,172,200
r010,control,9,us,desktop,warm,64,181,200
r011,control,10,us,desktop,warm,80,176,200
r012,control,11,us,desktop,warm,96,188,200
r013,control,12,us,desktop,warm,48,169,200
r014,control,13,us,desktop,warm,64,184,200
r015,control,14,us,desktop,warm,80,179,200
r016,control,15,us,desktop,warm,96,191,200
r017,control,4,eu,desktop,warm,160,226,200
r018,control,5,eu,desktop,warm,192,241,200
r019,control,6,eu,desktop,warm,224,233,200
r020,control,7,eu,desktop,warm,160,249,200
r021,control,8,eu,desktop,warm,192,238,200
r022,control,9,eu,desktop,warm,224,244,200
r023,control,10,eu,desktop,warm,160,226,200
r024,control,11,eu,desktop,warm,192,241,200
r025,control,12,eu,desktop,warm,224,233,200
r026,control,13,eu,desktop,warm,160,249,200
r027,control,14,eu,desktop,warm,192,238,200
r028,control,15,eu,desktop,warm,224,244,200
r029,control,8,us,mobile,cold,240,438,200
r030,control,9,us,mobile,cold,320,472,200
r031,control,10,us,mobile,cold,400,451,200
r032,control,11,us,mobile,cold,480,489,200
r033,control,12,us,mobile,cold,240,460,200
r034,control,13,us,mobile,cold,320,501,200
r035,control,14,us,mobile,cold,400,446,200
r036,control,15,us,mobile,cold,480,478,200
r037,control,12,eu,mobile,cold,720,742,200
r038,control,13,eu,mobile,cold,800,811,200
r039,control,14,eu,mobile,cold,880,786,200
r040,control,15,eu,mobile,cold,960,854,200
r041,candidate,20,us,desktop,warm,48,148,200
r042,candidate,21,us,desktop,warm,64,159,200
r043,candidate,22,us,desktop,warm,80,151,200
r044,candidate,23,us,desktop,warm,96,163,200
r045,candidate,24,us,desktop,warm,48,146,200
r046,candidate,25,us,desktop,warm,64,156,200
r047,candidate,26,us,desktop,warm,80,154,200
r048,candidate,27,us,desktop,warm,96,166,200
r049,candidate,20,eu,desktop,warm,160,198,200
r050,candidate,21,eu,desktop,warm,192,214,200
r051,candidate,22,eu,desktop,warm,224,205,200
r052,candidate,23,eu,desktop,warm,256,221,200
r053,candidate,24,eu,desktop,warm,160,202,200
r054,candidate,25,eu,desktop,warm,192,217,200
r055,candidate,26,eu,desktop,warm,224,209,200
r056,candidate,27,eu,desktop,warm,256,225,200
r057,candidate,22,us,mobile,cold,240,397,200
r058,candidate,23,us,mobile,cold,320,421,200
r059,candidate,24,us,mobile,cold,400,405,200
r060,candidate,25,us,mobile,cold,480,438,200
r061,candidate,26,us,mobile,cold,560,414,200
r062,candidate,27,us,mobile,cold,240,447,200
r063,candidate,28,us,mobile,cold,320,402,200
r064,candidate,29,us,mobile,cold,400,431,200
r065,candidate,30,us,mobile,cold,480,419,200
r066,candidate,31,us,mobile,cold,560,443,200
r067,candidate,24,eu,mobile,cold,720,902,200
r068,candidate,25,eu,mobile,cold,800,1018,200
r069,candidate,26,eu,mobile,cold,880,1136,200
r070,candidate,27,eu,mobile,cold,960,1264,504
r071,candidate,28,eu,mobile,cold,1040,1388,200
r072,candidate,29,eu,mobile,cold,1120,1512,504
r073,candidate,30,eu,mobile,cold,760,944,200
r074,candidate,31,eu,mobile,cold,720,1082,200
r075,candidate,32,eu,mobile,cold,800,1196,200
r076,candidate,33,eu,mobile,cold,880,1328,504
r077,candidate,34,eu,mobile,cold,960,1455,200
r078,candidate,35,eu,mobile,cold,1040,1584,504
r079,candidate,36,eu,mobile,cold,1120,986,200
r080,candidate,37,eu,mobile,cold,760,1242,200
